Time [s],Channel 0,Channel 1
4.384397542,1,0
4.384397667,0,0
4.384402625,0,1
4.384407583,0,0
4.384412667,0,1
4.384417625,0,0
4.384422708,0,1
4.384427667,0,0
4.384432792,0,1
4.384437708,0,0
4.384442833,0,1
4.384447750,0,0
4.384452875,0,1
4.384457792,0,0
4.384462917,0,1
4.384467833,0,0
4.384468167,1,0
4.384472958,1,1
4.384477917,1,0
4.384483875,0,0
4.384488542,0,1
4.384494292,1,1
4.384529375,0,1
4.384534458,0,0
4.384539375,1,0
4.384543833,1,1
4.384548792,1,0
4.384553917,1,1
4.384558833,1,0
4.384563958,1,1
4.384568875,1,0
4.384569250,0,0
4.384574000,0,1
4.384578917,0,0
4.384579458,1,0
4.384584042,1,1
4.384589000,1,0
4.384594083,1,1
4.384599042,1,0
4.384599417,0,0
4.384604125,0,1
4.384609083,0,0
4.384614167,0,1
4.384619125,0,0
4.384624208,0,1
4.384629167,0,0
4.384629500,1,0
4.384639542,1,1
4.384644500,1,0
4.384649583,1,1
4.384654542,1,0
4.384659625,1,1
4.384664583,1,0
4.384669708,1,1
4.384674625,1,0
4.384679750,1,1
4.384684667,1,0
4.384685042,0,0
4.384689792,0,1
4.384694708,0,0
4.384695250,1,0
4.384699833,1,1
4.384704792,1,0
4.384705125,0,0
4.384709875,0,1
4.384714833,0,0
4.384719917,0,1
4.384724875,0,0
4.384725208,1,0
4.384729708,0,0
4.384734375,0,1
4.384740125,1,1
4.384760167,0,1
4.384765250,0,0
4.384770208,1,0
4.384774667,1,1
4.384779625,1,0
4.384784708,1,1
4.384789667,1,0
4.384794750,1,1
4.384799708,1,0
4.384800083,0,0
4.384804833,0,1
4.384809750,0,0
4.384810292,1,0
4.384814875,1,1
4.384819792,1,0
4.384824917,1,1
4.384829875,1,0
4.384830208,0,0
4.384834958,0,1
4.384839917,0,0
4.384840417,1,0
4.384845000,1,1
4.384849958,1,0
4.384850083,0,0
4.384855042,0,1
4.384860000,0,0
4.384860333,1,0
4.384869167,1,1
4.384874125,1,0
4.384874250,0,0
4.384879250,0,1
4.384884167,0,0
4.384889292,0,1
4.384894208,0,0
4.384899333,0,1
4.384904250,0,0
4.384909375,0,1
4.384914292,0,0
4.384919417,0,1
4.384924375,0,0
4.384929458,0,1
4.384934417,0,0
4.384939500,0,1
4.384944458,0,0
4.384949542,0,1
4.384954500,0,0
4.384955000,1,0
4.384964792,1,1
4.384969750,1,0
4.384969917,0,0
4.384974875,0,1
4.384979792,0,0
4.384980125,1,0
4.384984917,1,1
4.384989833,1,0
4.384990000,0,0
4.384994958,0,1
4.384999917,0,0
4.385005000,0,1
4.385009958,0,0
4.385015042,0,1
4.385020000,0,0
4.385020333,1,0
4.385025083,1,1
4.385030042,1,0
4.385035125,1,1
4.385040083,1,0
4.385040458,0,0
4.385045208,0,1
